id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365
6,Large Craftsmen w/ yard ~ Perfect for families,29,Sara,North Hills,32.75399316,-117.1297052,Entire home/apt,295,2,148,15
8095,Sunset Cliffs Studio,270,Marin,Ocean Beach,32.73517047,-117.2437929,Entire home/apt,84,2,178,0
39516,Art Studio Retreat/Rustic Cabin,169649,Chris  And Jean,North Hills,32.73188418,-117.1191796,Entire home/apt,69,3,334,275
54001,"La Jolla Peaceful: Sitting Room, Breakfast",252692,Marsha,La Jolla,32.81189591,-117.269516,Private room,105,2,172,293
62274,"charming, colorful, close to beach",302986,Isabel,Pacific Beach,32.80733699,-117.2424322,Entire home/apt,68,2,454,251
62949,Pacific Beach Cozy Unit Best Deal with Bikes!,21532,Lisa,Pacific Beach,32.80961245,-117.2305625,Entire home/apt,75,1,487,121
69385,"Mission Beach, San Diego, CA  House with Garage",347408,Kimberly,Mission Bay,32.78646396,-117.2543378,Entire home/apt,250,3,161,311
75668,San Diego Living by JA 2,401936,Johnathon,North Hills,32.7473038,-117.1442342,Private room,50,2,165,223
79300,San Diego living by JA 1,401936,Johnathon,North Hills,32.74593831,-117.1440586,Private room,59,2,145,238
103417,La Jolla Retreat-Garden View-Breakfast,252692,Marsha,La Jolla,32.81280285,-117.2674698,Private room,125,2,145,88
103420,"La Jolla Serene: Private Patio, Breakfast",252692,Marsha,La Jolla,32.81252881,-117.2677218,Private room,115,2,111,180
103720,Gaslamp Room - Hillcrest House Bed & Breakfast,507423,Ann,Midtown,32.74885951,-117.165287,Private room,169,1,44,184
103841,Peaceful & Private Bedroom/Bath,541128,Flo,North City,32.95923047,-117.2328425,Private room,59,2,84,297
108349,3Br Townhome Steps to Beach & Shops,546519,Juliana,Pacific Beach,32.79659724,-117.2532866,Entire home/apt,209,2,114,319
117896,"La Jolla  Beach Paradise, San Diego",470998,Miriam,La Jolla,32.81069701,-117.2610919,Private room,89,1,163,0
