id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,availability_365
2384,Hyde Park-Walk to UChicago or Theological Seminary,2613,Rebecca,,Hyde Park,41.7888649,-87.58670891,Private room,50,2,133,10/1/2018,241
4505,1 Great Apartment. 352 Great Reviews.  1 bad one.,5775,Craig & Kathleen,,South Lawndale,41.85495262,-87.69696179,Entire home/apt,120,2,363,9/24/2018,188
6715,Lincoln Park Oasis - Unit 2 ONLY,15365,Reem,,Lincoln Park,41.92926222,-87.66009125,Entire home/apt,255,4,93,8/12/2018,352
9811,Barbara's Hideaway - Old Town,33004,At Home Inn,,Lincoln Park,41.91768924,-87.63787944,Entire home/apt,150,3,30,8/13/2018,349
10610,3 Comforts of Cooperative Living,2140,Lois And Ed,,Hyde Park,41.79708495,-87.59194894,Private room,35,2,31,7/29/2018,144
22651,beautifully furnished 3 bed/1bath 1,87231,Jeff And JoAnne,,Lake View,41.94910517,-87.65790583,Entire home/apt,185,1,170,9/25/2018,13
24833,Private Apt 1 Block to Fullerton L Red Line - Deck,101521,Red,,Lincoln Park,41.92679107,-87.65521134,Entire home/apt,99,32,37,7/29/2018,363
25267,Wrigleyville beautifully furnished 3 bedroom #2,87231,Jeff And JoAnne,,Lake View,41.94750674,-87.65928449,Entire home/apt,105,1,163,9/23/2018,62
25269,"Old Town, Furnished 2 bedroom: SWG",87231,Jeff And JoAnne,,Lincoln Park,41.9142263,-87.63846122,Entire home/apt,115,1,170,9/27/2018,169
25879,Top 2/1  Block to Fullerton L Red Line Deck & Yard,101521,Red,,Lincoln Park,41.92693453,-87.65752711,Entire home/apt,99,32,43,9/18/2017,364
37738,Andersonville - Perfect location!,162364,Mat And Randy,,Uptown,41.97384553,-87.66538939,Private room,74,3,237,10/1/2018,272
39742,Central guestroom! Walk everywhere!,170758,Eric,,Near North Side,41.8937749,-87.63465211,Private room,75,3,448,9/24/2018,5
44020,2 Bedrm 1 Block to Fullerton L  - Deck with Grll,101521,Red,,Lincoln Park,41.9267303,-87.65730729,Entire home/apt,80,32,50,10/1/2017,200
